GeneName,d0_siRNA,dm_siRNA,dm_NC,dm_PPARG,ins_siRNA,ins_NC,ins_PPARG
A230060F14Rik,=,=,=,=,=,=,=
A230065N10Rik,=,-,-,-,-,=,=
A230072C01Rik,=,=,=,=,=,=,=
A230083G16Rik,=,=,=,=,=,=,=
A330009N23Rik,=,=,=,=,-,=,=
A330035P11Rik,=,-,=,=,=,=,=
A330074K22Rik,-,-,-,-,-,=,+
A330076H08Rik,=,-,=,-,-,=,=
A430005L14Rik,=,=,=,=,=,=,=
A430018G15Rik,=,=,=,=,+,+,=
A430033K04Rik,=,=,=,=,-,=,=
A430035B10Rik,=,=,=,-,+,+,=
A430046D13Rik,=,=,=,=,+,+,=
A430105I19Rik,=,=,-,-,+,=,=
A4galt,+,=,=,+,+,=,=
A530016L24Rik,+,+,-,-,+,+,+
A530017D24Rik,=,=,-,-,-,=,=
A530020G20Rik,=,=,=,-,+,+,=
A530032D15Rik,=,=,-,=,-,=,+
A530040E14Rik,+,=,-,=,-,=,=
A530064N14Rik,=,=,=,=,-,=,=
A530072M11Rik,=,=,=,=,=,+,+
A630001G21Rik,=,=,=,=,-,=,=
A630052C17Rik,=,=,=,=,-,=,=
A730011C13Rik,=,=,=,=,=,=,=
A730017L22Rik,=,=,=,=,=,=,=
A730056A06Rik,=,=,=,=,+,+,+
A730061H03Rik,=,=,=,-,+,=,=
A830005F24Rik,=,-,=,+,=,+,=
A830080D01Rik,=,=,=,-,=,=,=
A830082K12Rik,=,=,=,=,=,-,-
A930001C03Rik,=,-,=,=,-,=,=
A930002H24Rik,=,-,-,-,-,=,=
A930004D18Rik,=,-,-,=,-,+,+
A930005H10Rik,=,=,-,-,=,+,+
A930007I19Rik,=,=,=,-,=,=,+
A930012L18Rik,=,=,=,=,-,=,=
A930012O16Rik,=,=,=,=,+,=,-
A930015D03Rik,+,=,=,=,+,=,=
A930018M24Rik,=,-,-,=,-,=,=
A930033H14Rik,=,-,=,=,=,=,=
A930035D04Rik,=,=,=,=,-,=,=
A930037H05Rik,=,=,=,+,-,=,=
AA413626,=,=,=,=,=,=,=
AA465934,=,=,=,=,=,=,=
AA474408,=,=,=,=,=,=,=
AA543186,=,=,+,+,+,=,-
AA914427,=,=,=,=,+,+,=
AA986860,=,+,=,=,+,+,=
Aaas,=,=,=,=,-,=,=
Aacs,=,=,+,=,+,+,=
Aaed1,=,=,=,=,=,=,=
Aagab,=,=,=,=,=,=,=
Aak1,=,=,=,=,-,=,=
Aamdc,=,=,=,=,=,+,+
Aamp,=,=,=,=,+,+,=
Aar2,=,=,=,=,+,=,=
Aars,=,=,+,+,+,=,=
Aars2,=,=,=,=,=,=,=
Aarsd1,=,=,+,+,=,=,=
Aasdh,=,=,=,=,=,=,=
Aasdhppt,=,=,+,=,+,=,=
Aatf,=,=,=,=,=,=,=
Abat,=,=,=,=,-,=,=
Abca1,=,+,-,-,+,+,=
Abca2,=,=,-,-,+,+,+
Abca3,=,=,=,-,+,+,=
Abca4,=,=,=,=,=,=,=
Abca5,=,=,=,=,-,=,=
Abca7,=,=,=,=,+,+,=
Abca8a,=,+,=,=,+,+,+
Abca8b,-,=,+,=,+,=,=
Abca9,-,-,-,-,-,=,=
Abcb10,=,=,=,=,+,+,=
Abcb1a,=,+,=,-,+,=,=
Abcb1b,=,=,=,=,-,=,=
Abcb6,=,=,=,=,+,+,=
Abcb7,+,+,=,=,+,=,=
Abcb8,=,+,=,-,+,+,+
Abcc1,=,=,+,+,=,=,=
Abcc10,=,=,=,=,=,=,=
Abcc2,=,=,=,-,+,+,+
Abcc3,=,=,=,+,-,=,+
Abcc4,=,=,+,+,+,=,=
Abcc5,=,=,-,-,=,+,=
Abcd1,=,=,=,=,=,+,=
Abcd2,+,=,-,-,+,+,+
Abcd3,=,=,=,+,+,=,=
Abcd4,=,=,=,=,=,=,-
Abce1,=,=,+,=,=,=,=
Abcf1,=,=,=,=,=,=,=
Abcf2,=,=,+,+,=,=,=
Abcf3,=,=,=,=,=,=,=
Abcg1,+,+,=,=,+,+,+
Abcg2,=,=,=,=,-,=,=
Abhd1,+,+,=,=,+,+,=
Abhd10,=,=,=,=,=,=,=
Abhd11,=,=,=,=,+,+,=
Abhd11os,=,=,=,=,+,+,=
Abhd12,=,=,=,=,=,+,=
Abhd13,=,=,=,=,+,=,=
Abhd14a,=,=,=,-,=,=,=
Abhd14b,=,=,=,-,+,+,=
Abhd15,+,+,=,+,+,+,=
Abhd16a,=,=,=,=,+,+,=
Abhd17a,=,=,=,=,=,=,=
Abhd17b,=,+,=,=,+,=,=
Abhd17c,=,=,=,=,=,=,=
Abhd18,=,=,=,=,+,+,=
Abhd2,=,=,=,=,=,=,=
Abhd3,+,+,=,=,+,+,=
Abhd4,=,=,-,-,=,+,=
Abhd5,+,+,+,=,+,+,=
Abhd6,=,=,=,+,+,+,=
Abhd8,=,=,=,=,-,=,=
Abi1,=,=,=,=,=,=,=
Abi2,=,=,=,=,-,=,=
Abi3bp,-,=,-,-,-,+,+
Abl1,=,=,=,=,-,-,=
Abl2,=,=,=,=,=,=,=
Ablim1,-,-,-,-,-,+,+
Ablim2,=,=,=,=,+,+,+
Abr,=,=,=,=,-,=,+
Abracl,=,=,=,=,=,=,=
Abraxas1,=,=,=,=,+,=,=
Abraxas2,=,=,=,=,=,=,=
Abt1,+,+,=,=,=,=,=
Abtb1,=,=,-,-,+,+,=
AC025913.2,=,=,=,=,=,=,=
AC034099.1,=,=,=,=,+,+,=
AC061963.3,=,=,=,=,+,=,=
AC091458.2,=,=,=,=,-,=,=
AC091458.6,=,=,-,=,=,+,=
AC091764.2,=,=,=,=,=,=,=
AC099934.3,=,=,+,+,-,-,=
